Oración original,Label original,Puntaje positivo,Puntaje negativo,COA,Resultado de inferencia,Tiempo de ejecución
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,N/A,0.382,0.0,6.536034643425566,Neutral,0.0009992122650146484
reading my kindle love it lee childs is good read,N/A,0.47,0.0,7.717227102601691,Positive,0.0
ok first assesment of the kindle it fucking rocks,N/A,0.216,0.0,5.4406248230777,Neutral,0.001001119613647461
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,N/A,0.204,0.135,5.203141847872734,Neutral,0.0
fair enough but i have the kindle and i think it s perfect,N/A,0.456,0.0,7.477906466678678,Positive,0.0
no it is too big i m quite happy with the kindle,N/A,0.281,0.155,5.478784778559743,Neutral,0.0009982585906982422
fuck this economy i hate aig and their non loan given asses,N/A,0.0,0.444,2.708451916354024,Negative,0.0
jquery is my new best friend,N/A,0.649,0.0,8.218920394270564,Positive,0.0
loves twitter,N/A,0.787,0.0,8.120851563478519,Positive,0.0
how can you not love obama he makes jokes about himself,N/A,0.139,0.234,4.691342988178292,Neutral,0.0
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,N/A,0.127,0.182,4.851712216056559,Neutral,0.0
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,N/A,0.337,0.0,6.139422052243628,Neutral,0.0
dear nike stop with the flywire that shit is a waste of science and ugly love,N/A,0.245,0.43,4.4395642602474545,Neutral,0.0009992122650146484
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __,N/A,0.216,0.0,5.4406248230777,Neutral,0.0
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,N/A,0.067,0.238,4.515937109206204,Neutral,0.001001119613647461
i love lebron,N/A,0.808,0.0,8.155383862538992,Positive,0.0
lebron is a beast but i m still cheering the a til the end,N/A,0.331,0.0,6.093583674428928,Neutral,0.0
lebron is the boss,N/A,0.0,0.0,4.999999999999997,Neutral,0.0010006427764892578
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,N/A,0.488,0.0,8.067983250576495,Positive,0.0
lebron and zydrunas are such an awesome duo,N/A,0.369,0.0,6.410879834539637,Neutral,0.0
lebron is a beast nobody in the nba comes even close,N/A,0.0,0.0,4.999999999999997,Neutral,0.0009989738464355469
downloading apps for my iphone so much fun there literally is an app for just about anything,N/A,0.183,0.0,5.315237435174309,Neutral,0.0
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,N/A,0.225,0.312,4.664589737189696,Neutral,0.0
awesome come back from via,N/A,0.506,0.0,8.332597250670025,Positive,0.00099945068359375
in montreal for a long weekend of r amp r much needed,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
