"sentence","positive_score","negative_score","positive_fuzzy","negative_fuzzy"
"i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right","0.382","0.0","[0.054455445544554504, 0.9455445544554455, 0.0]","[1.0, 1.0, 1.0]"
"reading my kindle love it lee childs is good read","0.47","0.0","[0.0, 0.8366336633663367, 0.16336633663366323]","[1.0, 1.0, 1.0]"
"ok first assesment of the kindle it fucking rocks","0.216","0.0","[0.46534653465346537, 0.5346534653465346, 0.0]","[1.0, 1.0, 1.0]"
"you will love your kindle i have had mine for a few months and never looked back the new big one is huge no need for remorse","0.204","0.135","[0.4950495049504951, 0.5049504950495048, 0.0]","[0.0, 0.0, 0.0]"
"fair enough but i have the kindle and i think it is perfect","0.427","0.0","[0.0, 0.9430693069306931, 0.05693069306930684]","[1.0, 1.0, 1.0]"
"no it is too big i am quite happy with the kindle","0.263","0.145","[0.34900990099009904, 0.650990099009901, 0.0]","[0.0, 0.0, 0.0]"
"fuck this economy i hate aig and their non loan given asses","0.0","0.444","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"jquery is my new best friend","0.649","0.0","[0.0, 0.39356435643564364, 0.6064356435643564]","[1.0, 1.0, 1.0]"
"loves twitter","0.787","0.0","[0.0, 0.051980198019802026, 0.948019801980198]","[1.0, 1.0, 1.0]"
"how can you not love obama he makes jokes about himself","0.139","0.234","[0.6559405940594059, 0.3440594059405941, 0.0]","[0.0, 0.0, 0.0]"
"i firmly believe that obama pelosi have zero desire to be civil it is a charade and a slogan but they want to destroy conservatism","0.122","0.176","[0.6980198019801981, 0.3019801980198019, 0.0]","[0.0, 0.0, 0.0]"
"house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao","0.337","0.0","[0.16584158415841585, 0.8341584158415841, 0.0]","[1.0, 1.0, 1.0]"
"dear nike stop with the flywire that shit is a waste of science and ugly love","0.245","0.43","[0.3935643564356436, 0.6064356435643563, 0.0]","[0.0, 0.0, 0.0]"
"lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __","0.216","0.0","[0.46534653465346537, 0.5346534653465346, 0.0]","[1.0, 1.0, 1.0]"
"i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james","0.067","0.238","[0.8341584158415841, 0.16584158415841585, 0.0]","[0.0, 0.0, 0.0]"
"i love lebron","0.808","0.0","[0.0, 0.0, 1.0]","[1.0, 1.0, 1.0]"
"lebron is a beast but i am still cheering the a til the end","0.308","0.0","[0.23762376237623767, 0.7623762376237623, 0.0]","[1.0, 1.0, 1.0]"
"lebron is the boss","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"lebron is a hometown hero to me lol i love the lakers but let us go cavs lol","0.467","0.0","[0.0, 0.844059405940594, 0.15594059405940594]","[1.0, 1.0, 1.0]"
"lebron and zydrunas are such an awesome duo","0.369","0.0","[0.08663366336633671, 0.9133663366336633, 0.0]","[1.0, 1.0, 1.0]"
"lebron is a beast nobody in the nba comes even close","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"downloading apps for my iphone so much fun there literally is an app for just about anything","0.183","0.0","[0.5470297029702971, 0.45297029702970293, 0.0]","[1.0, 1.0, 1.0]"
"good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing","0.225","0.312","[0.4430693069306931, 0.5569306930693069, 0.0]","[0.0, 0.0, 0.0]"
"awesome come back from via","0.506","0.0","[0.0, 0.7475247524752476, 0.2524752475247524]","[1.0, 1.0, 1.0]"
"in montreal for a long weekend of r amp r much needed","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv","0.422","0.0","[0.0, 0.9554455445544555, 0.044554455445544455]","[1.0, 1.0, 1.0]"
"mluc customer innovation award winner booz allen hamilton","0.664","0.0","[0.0, 0.3564356435643565, 0.6435643564356436]","[1.0, 1.0, 1.0]"
"i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake","0.101","0.121","[0.75, 0.25, 0.0]","[0.0, 0.0, 0.0]"
"google is always a good place to look should ve mentioned i worked on the mustang w my dad","0.162","0.0","[0.5990099009900991, 0.400990099009901, 0.0]","[1.0, 1.0, 1.0]"
"played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone","0.085","0.238","[0.7896039603960396, 0.21039603960396042, 0.0]","[0.0, 0.0, 0.0]"
"us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders","0.0","0.098","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"omg so bored amp my tattoooos are so itchy help aha","0.185","0.319","[0.5420792079207921, 0.4579207920792079, 0.0]","[0.0, 0.0, 0.0]"
"i am itchy and miserable","0.0","0.726","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"no i am not itchy for now maybe later lol","0.36","0.172","[0.10891089108910901, 0.891089108910891, 0.0]","[0.0, 0.0, 0.0]"
"rt i love the nerdy stanford human biology videos makes me miss school","0.263","0.175","[0.34900990099009904, 0.650990099009901, 0.0]","[0.0, 0.0, 0.0]"
"has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane","0.145","0.178","[0.6410891089108912, 0.35891089108910884, 0.0]","[0.0, 0.0, 0.0]"
"i am listening to p y t by danny gokey lt lt lt aww he is so amazing i lt him so much","0.223","0.0","[0.44801980198019803, 0.5519801980198019, 0.0]","[1.0, 1.0, 1.0]"
"is going to sleep then on a bike ride","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"cannot sleep my tooth is aching","0.0","0.39","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"blah blah blah same old same old no plans today going back to sleep i guess","0.0","0.368","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"glad i did not do bay to breakers today it is freaking degrees in san francisco wtf","0.133","0.292","[0.6707920792079208, 0.3292079207920792, 0.0]","[0.0, 0.0, 0.0]"
"obama administration must stop bonuses to aig ponzi schemers","0.281","0.172","[0.3044554455445544, 0.6955445544554456, 0.0]","[0.0, 0.0, 0.0]"
"started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig","0.0","0.098","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"shaunwoo hate n on aig","0.0","0.552","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"you will not regret going to see star trek it was awesome","0.391","0.0","[0.03217821782178221, 0.9678217821782178, 0.0]","[1.0, 1.0, 1.0]"
"annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that","0.0","0.13","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"highly recommend by malcolm gladwell","0.411","0.0","[0.0, 0.9826732673267328, 0.017326732673267203]","[1.0, 1.0, 1.0]"
"blink by malcolm gladwell amazing book and the tipping point","0.297","0.0","[0.2648514851485149, 0.735148514851485, 0.0]","[1.0, 1.0, 1.0]"
"malcolm gladwell might be my new man crush","0.0","0.186","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"omg the commercials alone on espn are going to drive me nuts","0.0","0.301","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code","0.362","0.0","[0.10396039603960405, 0.896039603960396, 0.0]","[1.0, 1.0, 1.0]"
"hello twitter api","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"because the twitter api is slow and most client s aren t good","0.24","0.0","[0.40594059405940597, 0.5940594059405939, 0.0]","[1.0, 1.0, 1.0]"
"yahoo answers can be a butt sometimes","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"is scrapbooking with nic d","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"rt five things wolfram alpha does better and vastly different than google","0.209","0.0","[0.4826732673267327, 0.5173267326732672, 0.0]","[1.0, 1.0, 1.0]"
"just changed my default pic to a nike basketball cause bball is awesome","0.272","0.0","[0.32673267326732675, 0.6732673267326733, 0.0]","[1.0, 1.0, 1.0]"
"rt was just told that nike layoffs started today","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"back when i worked for nike we had one fav word just do it","0.2","0.0","[0.504950495049505, 0.49504950495049505, 0.0]","[1.0, 1.0, 1.0]"
"by the way i am totally inspired by this freaky nike commercial","0.233","0.167","[0.42326732673267325, 0.5767326732673267, 0.0]","[0.0, 0.0, 0.0]"
"class the d is supposed to come today","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"needs someone to explain lambda calculus to him","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus","0.1","0.142","[0.7524752475247525, 0.24752475247524752, 0.0]","[0.0, 0.0, 0.0]"
"shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka","0.197","0.092","[0.5123762376237624, 0.4876237623762376, 0.0]","[0.0, 0.0, 0.0]"
"yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it is only for the summer","0.0","0.107","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"great stanford course thanks for making it available to the public really helpful and informative for starting off","0.402","0.0","[0.007525752575257552, 0.98989898989899, 0.0025752575257525978]","[1.0, 1.0, 1.0]"
"work til pm let us go lakers","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"damn you north korea","0.0","0.474","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"can we just go ahead and blow north korea off the map already","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"north korea please cease this douchebaggery china doesn t even like you anymore","0.324","0.0","[0.19801980198019806, 0.801980198019802, 0.0]","[1.0, 1.0, 1.0]"
"why the he will is pelosi in freakin china and on whose dime","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout","0.0","0.184","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"insects have infected my spinach plant","0.0","0.39","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects","0.206","0.117","[0.49009900990099015, 0.5099009900990098, 0.0]","[0.0, 0.0, 0.0]"
"just got back from church and i totally hate insects","0.0","0.333","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update we will it is true so suck it","0.13","0.274","[0.6782178217821783, 0.3217821782178218, 0.0]","[0.0, 0.0, 0.0]"
"omgg i ohhdee want mcdonalds damn i wonder if its open lol","0.297","0.196","[0.2648514851485149, 0.735148514851485, 0.0]","[0.0, 0.0, 0.0]"
"history exam studying ugh","0.0","0.483","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"i hate revision it is so boring i am totally unprepared for my exam tomorrow things are not looking good","0.0","0.378","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"higher physics exam tommorow not lookin forward to it much","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"it is a bank holiday yet i am only out of work now exam season sucks","0.157","0.145","[0.6113861386138614, 0.38861386138613857, 0.0]","[0.0, 0.0, 0.0]"
"cheney and bush are the real culprits","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc","0.0","0.401","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"dick cheney s dishonest speech about torture terror and obama fred kaplan slate","0.0","0.641","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio","0.099","0.245","[0.754950495049505, 0.24504950495049505, 0.0]","[0.0, 0.0, 0.0]"
"is twitter s connections api broken some tweets didn t make it to twitter","0.0","0.22","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"i srsly hate the stupid twitter api timeout thing soooo annoying","0.0","0.583","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"i really liked learning jquery book is worth a look too","0.416","0.0","[0.0, 0.9702970297029704, 0.02970297029702959]","[1.0, 1.0, 1.0]"
"very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre","0.166","0.0","[0.5891089108910891, 0.4108910891089109, 0.0]","[1.0, 1.0, 1.0]"
